Epoch,LR,Loss_Total,Loss_CASSI,Loss_RGB,Val_PSNR,Val_SSIM,Val_SAM,Duration_Sec
1,0.001000,14.994480,13.599126,0.069768,8.4014,0.1700,74.3848,11.66
2,0.001000,4.893633,4.487306,0.020332,8.3449,0.1662,88.7418,12.24
3,0.001000,3.358490,3.023046,0.016799,10.7864,0.1759,76.1214,12.18
4,0.001000,1.601189,1.403484,0.009909,11.7593,0.1698,72.2738,12.23
5,0.001000,1.344782,1.173690,0.008582,12.3594,0.1663,67.3540,11.97
6,0.001000,1.208283,1.036265,0.008635,12.9303,0.1657,62.2031,12.07
7,0.001000,0.983318,0.845807,0.006908,13.3295,0.1675,59.9366,11.87
8,0.001000,0.746102,0.628132,0.005931,14.1046,0.1801,61.5808,11.98
9,0.001000,0.618241,0.504256,0.005736,14.7808,0.1939,61.0310,12.47
10,0.001000,0.539135,0.428007,0.005596,15.4593,0.2116,58.3771,12.29
11,0.001000,0.488172,0.388194,0.005039,15.8742,0.2238,57.5403,11.81
12,0.001000,0.451984,0.355966,0.004843,15.9856,0.2393,55.0222,11.74
13,0.001000,0.405362,0.313304,0.004647,16.4511,0.2533,53.2406,12.23
14,0.001000,0.364243,0.277948,0.004360,16.7175,0.2553,52.8916,12.31
15,0.001000,0.355522,0.269253,0.004362,16.9854,0.2619,53.0268,12.03
16,0.001000,0.324633,0.244990,0.004030,17.1741,0.2702,52.0117,12.24
17,0.001000,0.314677,0.233323,0.004120,17.3901,0.2785,51.0251,12.00
18,0.001000,0.295466,0.219271,0.003862,17.5441,0.2849,49.5017,12.00
19,0.001000,0.285556,0.210199,0.003822,17.7135,0.2917,50.2370,12.10
20,0.001000,0.268874,0.197786,0.003609,17.8462,0.3030,48.7914,12.03
21,0.001000,0.260256,0.189987,0.003570,18.0001,0.3083,47.7265,11.86
22,0.001000,0.261409,0.193408,0.003458,18.0063,0.3096,48.5641,12.09
23,0.001000,0.247260,0.182934,0.003273,18.0724,0.2985,51.8097,12.25
24,0.001000,0.250716,0.188749,0.003156,18.1379,0.2986,48.7434,12.11
25,0.001000,0.234142,0.176671,0.002929,18.4476,0.3217,45.9287,12.24
26,0.001000,0.217427,0.164673,0.002691,18.4631,0.3226,46.2880,12.02
27,0.001000,0.218484,0.165943,0.002682,18.7115,0.3347,45.3124,11.90
28,0.001000,0.208432,0.160122,0.002468,18.8053,0.3407,48.3882,12.22
29,0.001000,0.221576,0.170741,0.002599,18.8770,0.3413,46.5114,12.28
30,0.001000,0.208369,0.157937,0.002581,18.9340,0.3274,44.6572,12.06
31,0.001000,0.191973,0.146772,0.002315,19.1814,0.3328,44.2212,11.73
32,0.001000,0.195609,0.152233,0.002223,19.3779,0.3587,43.2593,12.02
33,0.001000,0.172308,0.132924,0.002020,19.4738,0.3652,45.7517,12.24
34,0.001000,0.200534,0.158545,0.002156,19.5914,0.3571,41.5264,12.22
35,0.001000,0.184554,0.143669,0.002101,19.5807,0.3519,43.5820,12.01
36,0.001000,0.176427,0.137653,0.001994,19.4955,0.3382,46.0307,11.97
37,0.001000,0.197512,0.156438,0.002114,19.7364,0.3731,41.7770,11.94
38,0.001000,0.170996,0.133020,0.001956,19.8006,0.3577,40.6384,12.38
39,0.001000,0.172041,0.135153,0.001902,20.0270,0.3711,39.8145,12.25
40,0.001000,0.162647,0.126988,0.001840,20.1026,0.3846,44.0576,12.16
41,0.001000,0.157011,0.124603,0.001673,20.3516,0.4001,40.6879,12.12
42,0.001000,0.155772,0.124126,0.001635,20.4576,0.3935,39.2565,12.08
43,0.001000,0.145778,0.114901,0.001597,20.4685,0.3945,39.6781,12.18
44,0.001000,0.144010,0.114136,0.001546,20.6859,0.4094,38.3509,12.32
45,0.001000,0.127629,0.100102,0.001426,20.7627,0.4080,38.9104,12.38
46,0.001000,0.128453,0.101966,0.001373,20.7794,0.4049,38.5043,12.18
47,0.001000,0.122304,0.097071,0.001309,21.0920,0.4104,36.7624,11.91
48,0.001000,0.130011,0.104004,0.001351,20.9963,0.4029,44.7816,11.90
49,0.001000,0.141248,0.115627,0.001332,21.0698,0.4176,40.7205,11.95
50,0.001000,0.134792,0.109363,0.001323,21.2179,0.4279,37.6518,11.84
51,0.001000,0.114470,0.092581,0.001140,21.1080,0.4034,38.7929,12.13
52,0.001000,0.109952,0.089550,0.001063,21.2565,0.4086,39.9218,12.19
53,0.001000,0.107966,0.088399,0.001020,21.5259,0.4335,36.5196,12.28
54,0.001000,0.126764,0.105816,0.001093,21.5363,0.4324,35.4731,12.38
55,0.001000,0.113253,0.091885,0.001116,21.4914,0.4466,36.5964,11.63
56,0.001000,0.105088,0.085743,0.001011,21.8457,0.4530,36.4699,12.02
57,0.001000,0.104328,0.085342,0.000993,21.9970,0.4564,34.3677,12.01
58,0.001000,0.106205,0.088691,0.000917,21.9891,0.4473,37.1349,11.89
59,0.001000,0.099415,0.083253,0.000847,22.0584,0.4640,34.8559,12.07
60,0.001000,0.145416,0.124549,0.001095,20.6642,0.3881,43.7198,12.24
61,0.001000,0.127773,0.103412,0.001279,21.5347,0.4197,37.0940,12.32
62,0.001000,0.113271,0.091928,0.001121,21.7659,0.4369,38.5382,12.31
63,0.001000,0.111274,0.090460,0.001094,21.7813,0.4376,38.9728,10.50
64,0.001000,0.105556,0.084800,0.001092,22.1929,0.4486,35.0909,10.15
65,0.001000,0.091828,0.075411,0.000865,22.3680,0.4698,35.7419,10.22
66,0.001000,0.092324,0.077278,0.000793,22.4517,0.4617,31.6972,10.35
67,0.001000,0.104931,0.089131,0.000834,22.2206,0.4550,33.7198,9.98
68,0.001000,0.125005,0.107520,0.000923,22.0712,0.4371,31.7921,10.22
69,0.001000,0.140923,0.120710,0.001068,22.0350,0.4402,32.4219,10.35
70,0.001000,0.120458,0.101963,0.000978,22.2060,0.4469,34.2578,10.06
71,0.001000,0.101959,0.086325,0.000828,22.4488,0.4770,34.0527,12.51
72,0.001000,0.115357,0.098780,0.000878,22.3928,0.4791,34.5061,12.21
73,0.001000,0.179741,0.154764,0.001324,20.2593,0.3853,41.7018,11.98
74,0.001000,0.129662,0.104629,0.001329,21.8641,0.4613,35.0443,11.93
75,0.001000,0.102929,0.083873,0.001012,22.4562,0.4785,32.6404,12.01
76,0.001000,0.083198,0.068472,0.000783,22.7127,0.4861,32.6522,12.26
77,0.001000,0.077705,0.064262,0.000715,22.8003,0.4917,32.6550,12.18
78,0.001000,0.075599,0.063173,0.000662,23.0157,0.4955,33.2090,12.39
79,0.001000,0.073840,0.062365,0.000612,23.1526,0.5044,30.9718,12.14
80,0.001000,0.070724,0.059657,0.000590,23.2288,0.5137,30.1635,12.21
81,0.001000,0.073077,0.062135,0.000584,23.1985,0.5128,30.5038,12.18
82,0.001000,0.069176,0.058249,0.000584,23.3170,0.5185,30.9594,12.45
83,0.001000,0.065168,0.055335,0.000526,23.4015,0.5245,30.2985,12.03
84,0.001000,0.067017,0.057038,0.000534,23.6302,0.5280,29.4865,12.36
85,0.001000,0.065736,0.055905,0.000527,23.6319,0.5278,30.7191,12.09
86,0.001000,0.073644,0.063111,0.000565,23.7131,0.5364,29.9411,12.00
87,0.001000,0.065353,0.055738,0.000516,23.6659,0.5171,33.0738,12.14
88,0.001000,0.064089,0.054481,0.000516,23.7741,0.5337,30.4537,12.00
89,0.001000,0.065626,0.056176,0.000508,23.7794,0.5352,29.4393,11.91
90,0.001000,0.061894,0.052902,0.000484,23.8306,0.5366,30.5576,12.12
91,0.001000,0.061365,0.051926,0.000508,23.8700,0.5355,29.7978,12.18
92,0.001000,0.062984,0.053929,0.000488,23.6241,0.5187,33.2058,12.27
93,0.001000,0.091531,0.079974,0.000623,23.5486,0.5099,28.1272,12.57
94,0.001000,0.123135,0.108962,0.000765,23.2575,0.5029,33.3313,12.71
95,0.001000,0.109317,0.093611,0.000849,23.0155,0.5185,34.8742,12.44
96,0.001000,0.105142,0.092433,0.000687,23.1422,0.5064,29.7124,12.42
97,0.001000,0.088432,0.075599,0.000694,22.9857,0.5061,30.6340,12.17
98,0.001000,0.077829,0.064887,0.000701,23.4270,0.5143,32.7049,12.39
99,0.001000,0.066850,0.056100,0.000583,23.8469,0.5413,29.6200,12.47
100,0.001000,0.061326,0.051995,0.000506,23.8874,0.5445,30.9109,12.01
101,0.001000,0.059659,0.051108,0.000464,23.9713,0.5432,31.5700,12.07
102,0.001000,0.097452,0.086760,0.000581,23.6810,0.5449,30.9277,12.27
103,0.001000,0.136527,0.120533,0.000870,22.6542,0.4848,30.0971,11.97
104,0.001000,0.189545,0.168292,0.001157,20.3036,0.4906,40.3958,11.95
105,0.001000,0.162543,0.137295,0.001376,20.3454,0.4626,43.7029,12.30
106,0.001000,0.192580,0.164523,0.001530,21.8776,0.4734,35.1686,12.25
107,0.001000,0.160969,0.134675,0.001435,22.4697,0.4834,34.7568,12.35
108,0.001000,0.122304,0.104270,0.000985,22.9515,0.5146,34.2775,12.05
109,0.001000,0.097270,0.081471,0.000864,23.3374,0.5266,31.2377,12.03
110,0.001000,0.071221,0.059295,0.000653,23.8126,0.5360,28.4655,12.14
111,0.001000,0.070842,0.059969,0.000596,23.7466,0.5442,27.8241,12.24
112,0.001000,0.060508,0.051081,0.000517,24.0149,0.5487,30.0326,12.04
113,0.001000,0.060336,0.050608,0.000534,24.1679,0.5537,29.5890,12.14
114,0.001000,0.057340,0.048297,0.000497,24.3213,0.5643,28.8449,12.27
115,0.001000,0.083093,0.073383,0.000534,24.0064,0.5473,32.4819,12.03
116,0.001000,0.095167,0.083814,0.000625,24.1003,0.5644,27.7233,12.03
117,0.001000,0.092288,0.081854,0.000575,23.7768,0.5136,29.5042,12.03
118,0.001000,0.106173,0.094183,0.000661,23.5319,0.5478,30.7365,11.94
119,0.001000,0.085223,0.074149,0.000611,24.0051,0.5501,31.9125,11.94
120,0.001000,0.055205,0.046540,0.000478,23.7513,0.5319,33.6838,12.32
121,0.001000,0.070608,0.061965,0.000478,24.3394,0.5701,27.6448,12.16
122,0.001000,0.073737,0.064958,0.000485,24.1079,0.5532,29.1724,12.24
123,0.001000,0.060675,0.051943,0.000483,24.3736,0.5715,27.6367,12.24
124,0.001000,0.061505,0.053435,0.000447,24.6028,0.5754,28.2929,12.14
125,0.001000,0.053770,0.046203,0.000420,24.6036,0.5692,30.3137,12.00
126,0.001000,0.049899,0.042915,0.000388,24.8301,0.5855,26.3758,11.97
127,0.001000,0.045790,0.039186,0.000367,24.8751,0.5870,25.9176,12.10
128,0.001000,0.046067,0.039871,0.000344,24.8726,0.5875,26.8360,12.32
129,0.001000,0.046869,0.040206,0.000371,24.8815,0.5917,27.0483,11.98
130,0.001000,0.058784,0.051346,0.000414,24.9981,0.5929,27.3818,12.21
131,0.001000,0.070304,0.062243,0.000449,24.7035,0.5589,25.5972,11.82
132,0.001000,0.064480,0.055187,0.000518,24.6228,0.5781,27.0379,12.06
133,0.001000,0.049286,0.041758,0.000420,24.7103,0.5787,29.4913,12.13
134,0.001000,0.044507,0.038087,0.000359,25.0157,0.5984,26.8437,12.17
135,0.001000,0.042580,0.036536,0.000338,25.1848,0.5988,26.8312,12.33
136,0.001000,0.041524,0.035685,0.000327,25.2705,0.6018,25.2166,11.99
137,0.001000,0.041446,0.035576,0.000329,25.3146,0.6063,26.1256,12.19
138,0.001000,0.040720,0.034977,0.000322,25.2474,0.6046,27.6295,11.93
139,0.001000,0.039612,0.033904,0.000320,25.2584,0.6106,27.0792,12.05
140,0.001000,0.039258,0.033701,0.000312,25.3398,0.6121,26.8148,11.84
141,0.001000,0.040092,0.034616,0.000308,25.3852,0.6094,26.0417,11.91
142,0.001000,0.040535,0.034721,0.000327,25.3845,0.6114,25.8781,12.17
143,0.001000,0.039439,0.033766,0.000320,25.4531,0.6125,26.4748,12.14
144,0.001000,0.038270,0.032820,0.000307,25.4798,0.6080,26.0376,11.83
145,0.001000,0.039500,0.033793,0.000322,25.5805,0.6143,25.0412,12.01
146,0.001000,0.040554,0.035115,0.000307,25.5029,0.6158,27.0090,11.98
147,0.001000,0.040544,0.035003,0.000313,25.5381,0.6191,25.9178,12.23
148,0.001000,0.044861,0.039135,0.000324,25.0164,0.6021,30.1458,12.12
149,0.001000,0.049492,0.043495,0.000340,25.4512,0.6092,25.3820,10.17
150,0.001000,0.050086,0.044052,0.000342,24.9324,0.5791,25.5069,11.60
151,0.001000,0.061899,0.055015,0.000391,25.2472,0.6049,25.9105,10.29
152,0.001000,0.074372,0.065858,0.000484,24.4925,0.5771,32.6717,10.05
153,0.001000,0.101844,0.092162,0.000550,24.4205,0.5830,25.2399,10.38
154,0.001000,0.167541,0.151382,0.000919,23.3839,0.5098,38.0629,10.14
155,0.001000,0.094457,0.082651,0.000672,23.8232,0.5578,30.2863,9.99
156,0.001000,0.095170,0.081518,0.000778,23.1687,0.5386,32.6744,9.98
157,0.001000,0.061375,0.051149,0.000583,24.7291,0.5746,28.7020,10.41
158,0.001000,0.048701,0.040814,0.000450,24.9931,0.6006,26.5225,10.15
159,0.001000,0.041714,0.035541,0.000353,25.0826,0.6094,27.3786,10.28
160,0.001000,0.039634,0.034154,0.000314,25.5812,0.6125,25.5604,10.13
161,0.001000,0.037953,0.032809,0.000295,25.5647,0.6219,26.8709,10.24
162,0.001000,0.038061,0.032947,0.000293,25.6362,0.6247,25.9221,10.14
163,0.001000,0.037515,0.032457,0.000290,25.6434,0.6272,25.9545,12.31
164,0.001000,0.036979,0.031974,0.000287,25.7886,0.6313,25.1578,12.27
165,0.001000,0.035930,0.030885,0.000290,25.8487,0.6338,25.1842,12.15
166,0.001000,0.035532,0.030642,0.000281,25.9050,0.6346,24.8548,12.27
167,0.001000,0.037850,0.032872,0.000287,25.8880,0.6381,25.5321,12.46
168,0.001000,0.034366,0.029554,0.000277,25.9272,0.6306,26.2835,12.06
169,0.001000,0.036406,0.031411,0.000288,25.9426,0.6342,26.4223,11.99
170,0.001000,0.036034,0.031268,0.000275,25.9724,0.6313,27.1544,11.93
171,0.001000,0.036203,0.031267,0.000285,25.9132,0.6335,26.0882,12.34
172,0.001000,0.033704,0.028932,0.000276,25.8876,0.6280,27.5228,11.94
173,0.001000,0.035179,0.030064,0.000296,25.9699,0.6403,25.9894,12.26
174,0.001000,0.034317,0.029592,0.000274,25.9055,0.6290,27.8389,12.24
175,0.001000,0.034331,0.029660,0.000271,26.1818,0.6453,24.3082,12.35
176,0.001000,0.032587,0.028023,0.000265,26.0767,0.6420,26.0385,11.95
177,0.001000,0.034379,0.029832,0.000264,25.8269,0.6313,28.2961,12.07
178,0.001000,0.033051,0.028391,0.000271,26.0085,0.6345,27.4398,11.97
179,0.001000,0.034776,0.030031,0.000276,26.0869,0.6346,27.8448,12.00
180,0.001000,0.036016,0.031045,0.000290,26.0713,0.6490,25.0457,11.99
181,0.001000,0.044037,0.038691,0.000312,25.9071,0.6368,25.4492,11.94
182,0.001000,0.038226,0.033117,0.000298,25.9380,0.6381,26.0574,11.96
183,0.001000,0.042734,0.037366,0.000314,25.9396,0.6486,25.6563,12.34
184,0.001000,0.062776,0.056617,0.000360,25.9098,0.6318,26.1657,12.19
185,0.001000,0.058384,0.051571,0.000399,25.7016,0.6244,24.8820,12.12
186,0.001000,0.052548,0.046310,0.000365,25.4186,0.6098,25.8594,11.89
187,0.001000,0.042330,0.036658,0.000333,25.5468,0.6183,26.4671,12.13
188,0.001000,0.040570,0.034953,0.000330,25.9210,0.6484,24.4425,12.17
189,0.001000,0.035867,0.031081,0.000281,26.0492,0.6422,26.1599,12.07
190,0.001000,0.034223,0.029904,0.000254,26.2276,0.6504,24.9331,12.26
191,0.001000,0.030923,0.026654,0.000251,26.2524,0.6524,23.9636,12.08
192,0.001000,0.032216,0.028034,0.000246,26.3783,0.6565,24.5105,11.71
193,0.001000,0.033196,0.028907,0.000253,26.4035,0.6543,25.1919,12.10
194,0.001000,0.031367,0.027284,0.000241,26.3111,0.6546,24.9039,11.92
195,0.001000,0.034875,0.030520,0.000257,26.3292,0.6597,23.9167,11.83
196,0.001000,0.054072,0.048653,0.000320,26.1769,0.6344,24.2462,12.03
197,0.001000,0.075038,0.067544,0.000444,25.7698,0.6271,25.1514,12.08
198,0.001000,0.147818,0.134568,0.000785,23.7668,0.5647,33.4328,12.34
199,0.001000,0.095743,0.080472,0.000906,22.9959,0.5601,36.2897,12.26
200,0.001000,0.064554,0.053794,0.000639,25.0940,0.6175,28.3816,11.80
201,0.001000,0.049667,0.042556,0.000422,25.4603,0.6181,29.0440,12.04
202,0.001000,0.053508,0.047097,0.000381,25.7483,0.6339,25.1299,12.11
